beta,unknown,condition,crossings,n_cross,n_wrong_cross,wrong_theta_ticks,wrong_theta_task_ticks,correct_theta_ticks,max_conf,reveals,unknown_when_idle,coffee_max_seg2,coffee_theta_ticks_seg2,deliver_max_seg2,item6_3a_end,item6_3b_start_end,item6_3b_falls,max_task_seg3,unknown_end_seg3,ac_max_184_271,ac_most_likely_ticks_184_271,at_272
10.0,0.5,s30_on,74:unknown!,1,1,49,0,36,0.995,d(item_3):never(max 0.66) d(item_7):never(max 0.00),0.995,,,,,,,,,,,
10.0,0.5,s00_on,78:unknown!,1,1,66,0,25,0.995,d(item_3):never(max 0.66) d(item_2):never(max 0.00),0.995,,,,,,,,,,,
20.0,0.01,s40_on,8:d(item_3),1,0,174,0,197,0.993,"d(item_3):8(pre-grasp,grasp 60) coffee:never(max 0.00) d(item_6):never(max 0.00)",0.993,0.001,0,0.001,0.001,0.001->0.001,False,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
20.0,0.01,s30_on,8:d(item_3),1,0,49,0,101,0.995,"d(item_3):8(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
20.0,0.01,s00_on,2:d(item_3),1,0,66,0,101,0.995,"d(item_3):2(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
20.0,0.02,s40_on,8:d(item_3),1,0,174,0,197,0.993,"d(item_3):8(pre-grasp,grasp 60) coffee:never(max 0.00) d(item_6):never(max 0.00)",0.993,0.001,0,0.001,0.001,0.001->0.001,False,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
20.0,0.02,s30_on,9:d(item_3),1,0,49,0,100,0.995,"d(item_3):9(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
20.0,0.02,s00_on,2:d(item_3),1,0,66,0,101,0.995,"d(item_3):2(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
20.0,0.05,s40_on,8:d(item_3),1,0,174,0,197,0.993,"d(item_3):8(pre-grasp,grasp 60) coffee:never(max 0.00) d(item_6):never(max 0.00)",0.993,0.001,0,0.001,0.001,0.001->0.001,False,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
20.0,0.05,s30_on,9:d(item_3),1,0,49,0,100,0.995,"d(item_3):9(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
20.0,0.05,s00_on,2:d(item_3),1,0,66,0,101,0.995,"d(item_3):2(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
20.0,0.1,s40_on,9:d(item_3),1,0,174,0,196,0.993,"d(item_3):9(pre-grasp,grasp 60) coffee:never(max 0.00) d(item_6):never(max 0.00)",0.993,0.001,0,0.001,0.001,0.001->0.001,False,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
20.0,0.1,s30_on,10:d(item_3),1,0,49,0,99,0.995,"d(item_3):10(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
20.0,0.1,s00_on,2:d(item_3),1,0,66,0,101,0.995,"d(item_3):2(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
20.0,0.2,s40_on,11:d(item_3),1,0,174,0,194,0.993,"d(item_3):11(pre-grasp,grasp 60) coffee:never(max 0.00) d(item_6):never(max 0.00)",0.993,0.001,0,0.001,0.001,0.001->0.001,False,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
20.0,0.2,s30_on,12:d(item_3),1,0,49,0,97,0.995,"d(item_3):12(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
20.0,0.2,s00_on,3:d(item_3),1,0,66,0,100,0.995,"d(item_3):3(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
20.0,0.35,s40_on,115:unknown!,1,1,174,0,90,0.993,d(item_3):never(max 0.74) coffee:never(max 0.00) d(item_6):never(max 0.00),0.993,0.001,0,0.001,0.001,0.001->0.001,False,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
20.0,0.35,s30_on,74:unknown!,1,1,49,0,36,0.995,d(item_3):never(max 0.74) d(item_7):never(max 0.00),0.995,,,,,,,,,,,
20.0,0.35,s00_on,78:unknown!,1,1,66,0,25,0.995,d(item_3):never(max 0.74) d(item_2):never(max 0.00),0.995,,,,,,,,,,,
20.0,0.5,s40_on,115:unknown!,1,1,174,0,90,0.993,d(item_3):never(max 0.66) coffee:never(max 0.00) d(item_6):never(max 0.00),0.993,0.001,0,0.001,0.001,0.001->0.001,False,0.001,0.993,0.001,0,unknown 0.993 (item_6 0.001)
20.0,0.5,s30_on,74:unknown!,1,1,49,0,36,0.995,d(item_3):never(max 0.66) d(item_7):never(max 0.00),0.995,,,,,,,,,,,
20.0,0.5,s00_on,78:unknown!,1,1,66,0,25,0.995,d(item_3):never(max 0.66) d(item_2):never(max 0.00),0.995,,,,,,,,,,,
