condition,step,hypothesis,expected_action,excess_cm,base,belief
s00_off,18,d(item_3),move_to(?target=item_3),-0.0,0.412063,0.4121
s00_off,18,d(item_4),move_to(?target=item_4),245.1,0.412063,0.0654
s00_off,18,d(item_6),move_to(?target=item_6),26.2,0.412063,0.3584
s00_off,18,d(item_7),move_to(?target=item_7),184.7,0.412063,0.1123
s00_off,19,d(item_2),move_to(?target=item_2),467.2,0.432708,0.008
s00_off,19,d(item_3),move_to(?target=item_3),-0.0,0.432708,0.4327
s00_off,19,d(item_4),move_to(?target=item_4),267.5,0.432708,0.0558
s00_off,19,d(item_6),move_to(?target=item_6),28.8,0.432708,0.3708
s00_off,19,d(item_7),move_to(?target=item_7),216.1,0.432708,0.0894
s00_off,20,d(item_2),move_to(?target=item_2),501.3,0.452696,0.006
s00_off,20,d(item_3),move_to(?target=item_3),-0.0,0.452696,0.4527
s00_off,20,d(item_4),move_to(?target=item_4),291.0,0.452696,0.0468
s00_off,20,d(item_6),move_to(?target=item_6),31.6,0.452696,0.3817
s00_off,20,d(item_7),move_to(?target=item_7),251.7,0.452696,0.0676
s00_off,21,d(item_2),move_to(?target=item_2),535.9,0.471248,0.0044
s00_off,21,d(item_3),move_to(?target=item_3),-0.0,0.471248,0.4712
s00_off,21,d(item_4),move_to(?target=item_4),315.6,0.471248,0.0385
s00_off,21,d(item_6),move_to(?target=item_6),34.7,0.471248,0.3902
s00_off,21,d(item_7),move_to(?target=item_7),291.5,0.471248,0.0485
s00_off,22,d(item_2),move_to(?target=item_2),570.9,0.487856,0.0032
s00_off,22,d(item_3),move_to(?target=item_3),-0.0,0.487856,0.4879
s00_off,22,d(item_4),move_to(?target=item_4),341.1,0.487856,0.0312
s00_off,22,d(item_6),move_to(?target=item_6),38.1,0.487856,0.396
s00_off,22,d(item_7),move_to(?target=item_7),335.3,0.487856,0.033
s00_off,23,d(item_2),move_to(?target=item_2),606.4,0.502415,0.0023
s00_off,23,d(item_3),move_to(?target=item_3),-0.0,0.502415,0.5024
s00_off,23,d(item_4),move_to(?target=item_4),367.6,0.502415,0.0248
s00_off,23,d(item_6),move_to(?target=item_6),41.8,0.502415,0.3988
s00_off,23,d(item_7),move_to(?target=item_7),382.9,0.502415,0.0214
s00_off,24,d(item_2),move_to(?target=item_2),642.2,0.515183,0.0017
s00_off,24,d(item_3),move_to(?target=item_3),-0.0,0.515183,0.5152
s00_off,24,d(item_4),move_to(?target=item_4),395.0,0.515183,0.0195
s00_off,24,d(item_6),move_to(?target=item_6),45.9,0.515183,0.3989
s00_off,24,d(item_7),move_to(?target=item_7),433.7,0.515183,0.0133
s00_off,25,d(item_2),move_to(?target=item_2),678.3,0.526644,0.0012
s00_off,25,d(item_3),move_to(?target=item_3),-0.0,0.526644,0.5266
s00_off,25,d(item_4),move_to(?target=item_4),423.3,0.526644,0.0151
s00_off,25,d(item_6),move_to(?target=item_6),50.5,0.526644,0.3964
s00_off,25,d(item_7),move_to(?target=item_7),487.4,0.526644,0.008
s00_off,26,d(item_2),move_to(?target=item_2),714.8,0.53735,0.001
s00_off,26,d(item_3),move_to(?target=item_3),0.0,0.53735,0.5373
s00_off,26,d(item_4),move_to(?target=item_4),452.3,0.53735,0.0115
s00_off,26,d(item_6),move_to(?target=item_6),55.5,0.53735,0.3918
s00_off,26,d(item_7),move_to(?target=item_7),543.6,0.53735,0.0047
s00_off,27,d(item_2),move_to(?target=item_2),751.5,0.547828,0.001
s00_off,27,d(item_3),move_to(?target=item_3),-0.0,0.547828,0.5476
s00_off,27,d(item_4),move_to(?target=item_4),482.1,0.547828,0.0088
s00_off,27,d(item_6),move_to(?target=item_6),61.1,0.547828,0.3852
s00_off,27,d(item_7),move_to(?target=item_7),601.6,0.547828,0.0027
s00_off,28,d(item_2),move_to(?target=item_2),788.4,0.558541,0.001
s00_off,28,d(item_3),move_to(?target=item_3),0.0,0.558541,0.5582
s00_off,28,d(item_4),move_to(?target=item_4),512.6,0.558541,0.0066
s00_off,28,d(item_6),move_to(?target=item_6),67.4,0.558541,0.3769
s00_off,28,d(item_7),move_to(?target=item_7),661.2,0.558541,0.0015
s00_off,29,d(item_2),move_to(?target=item_2),825.5,0.569881,0.001
s00_off,29,d(item_3),move_to(?target=item_3),0.0,0.569881,0.5694
s00_off,29,d(item_4),move_to(?target=item_4),543.7,0.569881,0.0049
s00_off,29,d(item_6),move_to(?target=item_6),74.4,0.569881,0.3667
s00_off,29,d(item_7),move_to(?target=item_7),722.0,0.569881,0.001
s00_off,30,d(item_2),move_to(?target=item_2),862.9,0.582106,0.001
s00_off,30,d(item_3),move_to(?target=item_3),0.0,0.582106,0.5814
s00_off,30,d(item_4),move_to(?target=item_4),575.5,0.582106,0.0037
s00_off,30,d(item_6),move_to(?target=item_6),82.3,0.582106,0.3548
s00_off,30,d(item_7),move_to(?target=item_7),757.4,0.582106,0.001
s00_off,31,d(item_2),move_to(?target=item_2),900.4,0.595902,0.001
s00_off,31,d(item_3),move_to(?target=item_3),0.0,0.595902,0.5948
s00_off,31,d(item_4),move_to(?target=item_4),607.8,0.595902,0.0027
s00_off,31,d(item_6),move_to(?target=item_6),91.2,0.595902,0.341
s00_off,32,d(item_2),move_to(?target=item_2),938.1,0.610914,0.001
s00_off,32,d(item_3),move_to(?target=item_3),0.0,0.610914,0.6098
s00_off,32,d(item_4),move_to(?target=item_4),640.6,0.610914,0.002
s00_off,32,d(item_6),move_to(?target=item_6),101.1,0.610914,0.3253
s00_off,33,d(item_2),move_to(?target=item_2),975.9,0.62767,0.001
s00_off,33,d(item_3),move_to(?target=item_3),0.0,0.62767,0.6265
s00_off,33,d(item_4),move_to(?target=item_4),673.9,0.62767,0.0015
s00_off,33,d(item_6),move_to(?target=item_6),112.4,0.62767,0.3074
s00_off,34,d(item_2),move_to(?target=item_2),1013.8,0.646287,0.001
s00_off,34,d(item_3),move_to(?target=item_3),0.0,0.646287,0.645
s00_off,34,d(item_4),move_to(?target=item_4),707.6,0.646287,0.0011
s00_off,34,d(item_6),move_to(?target=item_6),125.0,0.646287,0.2874
s00_off,35,d(item_2),move_to(?target=item_2),1051.9,0.666774,0.001
s00_off,35,d(item_3),move_to(?target=item_3),0.0,0.666774,0.6653
s00_off,35,d(item_4),move_to(?target=item_4),741.8,0.666774,0.001
s00_off,35,d(item_6),move_to(?target=item_6),139.1,0.666774,0.2651
s00_off,36,d(item_2),move_to(?target=item_2),1090.1,0.688989,0.001
s00_off,36,d(item_3),move_to(?target=item_3),0.0,0.688989,0.6873
s00_off,36,d(item_4),move_to(?target=item_4),776.3,0.688989,0.001
s00_off,36,d(item_6),move_to(?target=item_6),154.9,0.688989,0.2409
s00_off,37,d(item_2),move_to(?target=item_2),1128.4,0.712597,0.001
s00_off,37,d(item_3),move_to(?target=item_3),0.0,0.712597,0.7108
s00_off,37,d(item_4),move_to(?target=item_4),811.1,0.712597,0.001
s00_off,37,d(item_6),move_to(?target=item_6),172.4,0.712597,0.2151
s00_off,38,d(item_2),move_to(?target=item_2),1166.8,0.737055,0.001
s00_off,38,d(item_3),move_to(?target=item_3),0.0,0.737055,0.7351
s00_off,38,d(item_4),move_to(?target=item_4),846.3,0.737055,0.001
s00_off,38,d(item_6),move_to(?target=item_6),191.7,0.737055,0.1884
s00_off,39,d(item_2),move_to(?target=item_2),1205.3,0.761638,0.001
s00_off,39,d(item_3),pick_up(?item=item_3),,0.761638,0.7595
s00_off,39,d(item_4),move_to(?target=item_4),881.7,0.761638,0.001
s00_off,39,d(item_6),move_to(?target=item_6),212.9,0.761638,0.1615
s00_off,40,d(item_2),move_to(?target=item_2),1205.3,0.761638,0.001
s00_off,40,d(item_3),pick_up(?item=item_3),,0.761638,0.7595
s00_off,40,d(item_4),move_to(?target=item_4),881.7,0.761638,0.001
s00_off,40,d(item_6),move_to(?target=item_6),212.9,0.761638,0.1615
s00_off,41,d(item_2),"place(?item=item_3,?target=shelf_3)",,9e-06,0.001
s00_off,41,d(item_3),move_to(?target=kitting_table_0),0.0,0.761638,0.7595
s00_off,41,d(item_4),"place(?item=item_3,?target=shelf_3)",,0.000226,0.001
s00_off,41,d(item_6),"place(?item=item_3,?target=shelf_3)",,0.161963,0.1615
s00_off,42,d(item_2),"place(?item=item_3,?target=shelf_3)",,9e-06,0.001
s00_off,42,d(item_3),move_to(?target=kitting_table_0),0.0,0.761638,0.7595
s00_off,42,d(item_4),"place(?item=item_3,?target=shelf_3)",,0.000226,0.001
s00_off,42,d(item_6),"place(?item=item_3,?target=shelf_3)",,0.161963,0.1615
s00_off,43,d(item_2),move_to(?target=shelf_3),0.0,9e-06,0.001
s00_off,43,d(item_3),move_to(?target=kitting_table_0),0.0,0.761638,0.7595
s00_off,43,d(item_4),move_to(?target=shelf_3),0.0,0.000226,0.001
s00_off,43,d(item_6),move_to(?target=shelf_3),0.0,0.161963,0.1615
s00_off,44,d(item_2),move_to(?target=shelf_3),39.6,9e-06,0.001
s00_off,44,d(item_3),move_to(?target=kitting_table_0),0.0,0.78657,0.7844
s00_off,44,d(item_4),move_to(?target=shelf_3),39.6,0.000233,0.001
s00_off,44,d(item_6),move_to(?target=shelf_3),39.6,0.167265,0.1342
s00_off,45,d(item_2),move_to(?target=shelf_3),79.4,9e-06,0.001
s00_off,45,d(item_3),move_to(?target=kitting_table_0),0.0,0.811294,0.809
s00_off,45,d(item_4),move_to(?target=shelf_3),79.4,0.00024,0.001
s00_off,45,d(item_6),move_to(?target=shelf_3),79.4,0.172523,0.1071
s00_off,46,d(item_2),move_to(?target=shelf_3),119.3,1e-05,0.001
s00_off,46,d(item_3),move_to(?target=kitting_table_0),0.0,0.83393,0.8315
s00_off,46,d(item_4),move_to(?target=shelf_3),119.3,0.000247,0.001
s00_off,46,d(item_6),move_to(?target=shelf_3),119.3,0.177336,0.0823
s00_off,47,d(item_2),move_to(?target=shelf_3),159.2,1e-05,0.001
s00_off,47,d(item_3),move_to(?target=kitting_table_0),0.0,0.853223,0.8507
s00_off,47,d(item_4),move_to(?target=shelf_3),159.2,0.000253,0.001
s00_off,47,d(item_6),move_to(?target=shelf_3),159.2,0.181439,0.0612
s00_off,48,d(item_2),move_to(?target=shelf_3),199.1,1e-05,0.001
s00_off,48,d(item_3),move_to(?target=kitting_table_0),-0.0,0.868691,0.8661
s00_off,48,d(item_4),move_to(?target=shelf_3),199.1,0.000257,0.001
s00_off,48,d(item_6),move_to(?target=shelf_3),199.1,0.184728,0.0442
s00_off,49,d(item_2),move_to(?target=shelf_3),239.1,1e-05,0.001
s00_off,49,d(item_3),move_to(?target=kitting_table_0),0.0,0.880499,0.8779
s00_off,49,d(item_4),move_to(?target=shelf_3),239.1,0.000261,0.001
s00_off,49,d(item_6),move_to(?target=shelf_3),239.1,0.187239,0.0313
s00_off,50,d(item_2),move_to(?target=shelf_3),279.1,1e-05,0.001
s00_off,50,d(item_3),move_to(?target=kitting_table_0),0.0,0.88918,0.8865
s00_off,50,d(item_4),move_to(?target=shelf_3),279.1,0.000263,0.001
s00_off,50,d(item_6),move_to(?target=shelf_3),279.1,0.189085,0.0218
s00_off,51,d(item_2),move_to(?target=shelf_3),319.0,1e-05,0.001
s00_off,51,d(item_3),move_to(?target=kitting_table_0),0.0,0.895386,0.8927
s00_off,51,d(item_4),move_to(?target=shelf_3),319.0,0.000265,0.001
s00_off,51,d(item_6),move_to(?target=shelf_3),319.0,0.190405,0.015
s00_off,52,d(item_2),move_to(?target=shelf_3),359.0,1e-05,0.001
s00_off,52,d(item_3),move_to(?target=kitting_table_0),0.0,0.899736,0.8971
s00_off,52,d(item_4),move_to(?target=shelf_3),359.0,0.000267,0.001
s00_off,52,d(item_6),move_to(?target=shelf_3),359.0,0.19133,0.0102
s00_off,53,d(item_2),move_to(?target=shelf_3),399.0,1.1e-05,0.001
s00_off,53,d(item_3),move_to(?target=kitting_table_0),0.0,0.902742,0.9
s00_off,53,d(item_4),move_to(?target=shelf_3),399.0,0.000267,0.001
s00_off,53,d(item_6),move_to(?target=shelf_3),399.0,0.191969,0.007
s00_off,54,d(item_2),move_to(?target=shelf_3),439.0,1.1e-05,0.001
s00_off,54,d(item_3),move_to(?target=kitting_table_0),0.0,0.904799,0.9021
s00_off,54,d(item_4),move_to(?target=shelf_3),439.0,0.000268,0.001
s00_off,54,d(item_6),move_to(?target=shelf_3),439.0,0.192407,0.0047
s00_off,55,d(item_2),move_to(?target=shelf_3),479.0,1.1e-05,0.001
s00_off,55,d(item_3),move_to(?target=kitting_table_0),0.0,0.906197,0.9035
s00_off,55,d(item_4),move_to(?target=shelf_3),479.0,0.000268,0.001
s00_off,55,d(item_6),move_to(?target=shelf_3),479.0,0.192704,0.0032
s00_off,56,d(item_2),move_to(?target=shelf_3),519.0,1.1e-05,0.001
s00_off,56,d(item_3),move_to(?target=kitting_table_0),0.0,0.907144,0.9044
s00_off,56,d(item_4),move_to(?target=shelf_3),519.0,0.000269,0.001
s00_off,56,d(item_6),move_to(?target=shelf_3),519.0,0.192905,0.0021
s00_off,57,d(item_2),move_to(?target=shelf_3),559.0,1.1e-05,0.001
s00_off,57,d(item_3),move_to(?target=kitting_table_0),0.0,0.907782,0.9051
s00_off,57,d(item_4),move_to(?target=shelf_3),559.0,0.000269,0.001
s00_off,57,d(item_6),move_to(?target=shelf_3),559.0,0.193041,0.0014
s00_off,58,d(item_2),move_to(?target=shelf_3),598.9,1.1e-05,0.001
s00_off,58,d(item_3),move_to(?target=kitting_table_0),0.0,0.908212,0.9055
s00_off,58,d(item_4),move_to(?target=shelf_3),598.9,0.000269,0.001
s00_off,58,d(item_6),move_to(?target=shelf_3),598.9,0.193132,0.001
s00_off,59,d(item_2),move_to(?target=shelf_3),638.9,1.1e-05,0.001
s00_off,59,d(item_3),move_to(?target=kitting_table_0),0.0,0.908501,0.9055
s00_off,59,d(item_4),move_to(?target=shelf_3),638.9,0.000269,0.001
s00_off,59,d(item_6),move_to(?target=shelf_3),638.9,0.193194,0.001
s00_off,60,d(item_2),move_to(?target=shelf_3),678.9,1.1e-05,0.001
s00_off,60,d(item_3),move_to(?target=kitting_table_0),0.0,0.908695,0.9055
s00_off,60,d(item_4),move_to(?target=shelf_3),678.9,0.000269,0.001
s00_off,60,d(item_6),move_to(?target=shelf_3),678.9,0.193235,0.001
s00_off,61,d(item_2),move_to(?target=shelf_3),718.9,1.1e-05,0.001
s00_off,61,d(item_3),move_to(?target=kitting_table_0),0.0,0.908826,0.9055
s00_off,61,d(item_4),move_to(?target=shelf_3),718.9,0.000269,0.001
s00_off,61,d(item_6),move_to(?target=shelf_3),718.9,0.193263,0.001
s00_off,62,d(item_2),move_to(?target=shelf_3),758.9,1.1e-05,0.001
s00_off,62,d(item_3),move_to(?target=kitting_table_0),0.0,0.908913,0.9055
s00_off,62,d(item_4),move_to(?target=shelf_3),758.9,0.000269,0.001
s00_off,62,d(item_6),move_to(?target=shelf_3),758.9,0.193282,0.001
s00_off,63,d(item_2),move_to(?target=shelf_3),798.9,1.1e-05,0.001
s00_off,63,d(item_3),move_to(?target=kitting_table_0),0.0,0.908972,0.9055
s00_off,63,d(item_4),move_to(?target=shelf_3),798.9,0.000269,0.001
s00_off,63,d(item_6),move_to(?target=shelf_3),798.9,0.193294,0.001
s00_off,64,d(item_2),move_to(?target=shelf_3),838.9,1.1e-05,0.001
s00_off,64,d(item_3),move_to(?target=kitting_table_0),0.0,0.909011,0.9055
s00_off,64,d(item_4),move_to(?target=shelf_3),838.9,0.000269,0.001
s00_off,64,d(item_6),move_to(?target=shelf_3),838.9,0.193302,0.001
s00_off,65,d(item_2),move_to(?target=shelf_3),878.9,1.1e-05,0.001
s00_off,65,d(item_3),move_to(?target=kitting_table_0),0.0,0.909037,0.9055
s00_off,65,d(item_4),move_to(?target=shelf_3),878.9,0.000269,0.001
s00_off,65,d(item_6),move_to(?target=shelf_3),878.9,0.193308,0.001
s00_off,66,d(item_2),move_to(?target=shelf_3),918.9,1.1e-05,0.001
s00_off,66,d(item_3),move_to(?target=kitting_table_0),0.0,0.909055,0.9055
s00_off,66,d(item_4),move_to(?target=shelf_3),918.9,0.000269,0.001
s00_off,66,d(item_6),move_to(?target=shelf_3),918.9,0.193312,0.001
s00_off,67,d(item_2),move_to(?target=shelf_3),958.9,1.1e-05,0.001
s00_off,67,d(item_3),move_to(?target=kitting_table_0),0.0,0.909067,0.9055
s00_off,67,d(item_4),move_to(?target=shelf_3),958.9,0.000269,0.001
s00_off,67,d(item_6),move_to(?target=shelf_3),958.9,0.193314,0.001
s00_off,68,d(item_2),move_to(?target=shelf_3),998.9,1.1e-05,0.001
s00_off,68,d(item_3),move_to(?target=kitting_table_0),0.0,0.909075,0.9055
s00_off,68,d(item_4),move_to(?target=shelf_3),998.9,0.000269,0.001
s00_off,68,d(item_6),move_to(?target=shelf_3),998.9,0.193316,0.001
s00_off,69,d(item_2),move_to(?target=shelf_3),1038.9,1.1e-05,0.001
s00_off,69,d(item_3),move_to(?target=kitting_table_0),0.0,0.90908,0.9055
s00_off,69,d(item_4),move_to(?target=shelf_3),1038.9,0.000269,0.001
s00_off,69,d(item_6),move_to(?target=shelf_3),1038.9,0.193317,0.001
s00_off,70,d(item_2),move_to(?target=shelf_3),1078.9,1.1e-05,0.001
s00_off,70,d(item_3),move_to(?target=kitting_table_0),0.0,0.909084,0.9055
s00_off,70,d(item_4),move_to(?target=shelf_3),1078.9,0.000269,0.001
s00_off,70,d(item_6),move_to(?target=shelf_3),1078.9,0.193318,0.001
s00_off,71,d(item_2),move_to(?target=shelf_3),1118.9,1.1e-05,0.001
s00_off,71,d(item_3),move_to(?target=kitting_table_0),0.0,0.909086,0.9055
s00_off,71,d(item_4),move_to(?target=shelf_3),1118.9,0.000269,0.001
s00_off,71,d(item_6),move_to(?target=shelf_3),1118.9,0.193318,0.001
s00_off,72,d(item_2),move_to(?target=shelf_3),1158.9,1.1e-05,0.001
s00_off,72,d(item_3),move_to(?target=kitting_table_0),0.0,0.909088,0.9055
s00_off,72,d(item_4),move_to(?target=shelf_3),1158.9,0.000269,0.001
s00_off,72,d(item_6),move_to(?target=shelf_3),1158.9,0.193319,0.001
s00_off,73,d(item_2),move_to(?target=shelf_3),1198.9,1.1e-05,0.001
s00_off,73,d(item_3),move_to(?target=kitting_table_0),0.0,0.909089,0.9055
s00_off,73,d(item_4),move_to(?target=shelf_3),1198.9,0.000269,0.001
s00_off,73,d(item_6),move_to(?target=shelf_3),1198.9,0.193319,0.001
s00_off,74,d(item_2),move_to(?target=shelf_3),1238.9,1.1e-05,0.001
s00_off,74,d(item_3),move_to(?target=kitting_table_0),0.0,0.909089,0.9055
s00_off,74,d(item_4),move_to(?target=shelf_3),1238.9,0.000269,0.001
s00_off,74,d(item_6),move_to(?target=shelf_3),1238.9,0.193319,0.001
s00_off,75,d(item_2),move_to(?target=shelf_3),1278.9,1.1e-05,0.001
s00_off,75,d(item_3),move_to(?target=kitting_table_0),0.0,0.90909,0.9055
s00_off,75,d(item_4),move_to(?target=shelf_3),1278.9,0.000269,0.001
s00_off,75,d(item_6),move_to(?target=shelf_3),1278.9,0.193319,0.001
s00_off,76,d(item_2),move_to(?target=shelf_3),1318.9,1.1e-05,0.001
s00_off,76,d(item_3),"place(?item=item_3,?target=kitting_table_0)",,0.90909,0.9055
s00_off,76,d(item_4),move_to(?target=shelf_3),1318.9,0.000269,0.001
s00_off,76,d(item_6),move_to(?target=shelf_3),1318.9,0.193319,0.001
s00_off,77,d(item_2),move_to(?target=shelf_3),1318.9,1.1e-05,0.001
s00_off,77,d(item_3),"place(?item=item_3,?target=kitting_table_0)",,0.90909,0.9055
s00_off,77,d(item_4),move_to(?target=shelf_3),1318.9,0.000269,0.001
s00_off,77,d(item_6),move_to(?target=shelf_3),1318.9,0.193319,0.001
s00_off,78,d(item_2),move_to(?target=item_2),0.0,0.0,0.001
s00_off,78,d(item_4),move_to(?target=item_4),0.0,0.0,0.001
s00_off,78,d(item_6),move_to(?target=item_6),0.0,8e-06,0.001
s00_off,79,d(item_2),move_to(?target=item_2),0.0,0.0,0.001
s00_off,79,d(item_4),move_to(?target=item_4),0.0,0.0,0.001
s00_off,79,d(item_6),move_to(?target=item_6),0.0,8e-06,0.001
s00_off,80,d(item_2),move_to(?target=item_2),0.0,0.0,0.001
s00_off,80,d(item_4),move_to(?target=item_4),0.0,0.0,0.001
s00_off,80,d(item_6),move_to(?target=item_6),0.0,8e-06,0.001
s00_off,81,d(item_2),move_to(?target=item_2),0.0,0.0,0.001
s00_off,81,d(item_4),move_to(?target=item_4),0.9,0.0,0.001
s00_off,81,d(item_6),move_to(?target=item_6),19.7,8e-06,0.001
s00_off,82,d(item_2),move_to(?target=item_2),0.0,0.0,0.001
s00_off,82,d(item_4),move_to(?target=item_4),1.9,0.0,0.001
s00_off,82,d(item_6),move_to(?target=item_6),42.0,8e-06,0.001
